year,event,code,title,categories,hardware_hints,source,source_path,source_url
2009,national,D,无线环境监测模拟装置,communications-network;sensing-vision-ai;biomedical-environmental,rf-front-end,nuedc-topic,2009/D_无线环境监测模拟装置.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2009/D_%E6%97%A0%E7%BA%BF%E7%8E%AF%E5%A2%83%E7%9B%91%E6%B5%8B%E6%A8%A1%E6%8B%9F%E8%A3%85%E7%BD%AE.pdf
2009,national,E,电能收集充电器,power-electronics,power-stage,nuedc-topic,2009/E_电能收集充电器.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2009/E_%E7%94%B5%E8%83%BD%E6%94%B6%E9%9B%86%E5%85%85%E7%94%B5%E5%99%A8.pdf
2009,national,F,数字幅频均衡功率放大器,power-electronics;analog-rf,general-embedded,nuedc-topic,2009/F_数字幅频均衡功率放大器.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2009/F_%E6%95%B0%E5%AD%97%E5%B9%85%E9%A2%91%E5%9D%87%E8%A1%A1%E5%8A%9F%E7%8E%87%E6%94%BE%E5%A4%A7%E5%99%A8.pdf
2009,national,G,低频功率放大器,power-electronics;analog-rf,general-embedded,nuedc-topic,2009/G_低频功率放大器.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2009/G_%E4%BD%8E%E9%A2%91%E5%8A%9F%E7%8E%87%E6%94%BE%E5%A4%A7%E5%99%A8.pdf
2009,national,H,LED点阵书写显示屏,digital-systems-fpga,general-embedded,nuedc-topic,2009/H_LED点阵书写显示屏.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2009/H_LED%E7%82%B9%E9%98%B5%E4%B9%A6%E5%86%99%E6%98%BE%E7%A4%BA%E5%B1%8F.pdf
2009,national,I,模拟路灯控制系统,control-robotics;biomedical-environmental,general-embedded,nuedc-topic,2009/I_模拟路灯控制系统.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2009/I_%E6%A8%A1%E6%8B%9F%E8%B7%AF%E7%81%AF%E6%8E%A7%E5%88%B6%E7%B3%BB%E7%BB%9F.pdf
2011,national,A,开关电源模块并联供电系统,power-electronics,power-stage,nuedc-topic,2011/A_开关电源模块并联供电系统.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2011/A_%E5%BC%80%E5%85%B3%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E5%B9%B6%E8%81%94%E4%BE%9B%E7%94%B5%E7%B3%BB%E7%BB%9F.pdf
2011,national,B,基于自由摆的平板控制系统,control-robotics,motor-drive;mechanical-system,nuedc-topic,2011/B_基于自由摆的平板控制系统.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2011/B_%E5%9F%BA%E4%BA%8E%E8%87%AA%E7%94%B1%E6%91%86%E7%9A%84%E5%B9%B3%E6%9D%BF%E6%8E%A7%E5%88%B6%E7%B3%BB%E7%BB%9F.pdf
2011,national,C,智能小车,control-robotics,motor-drive;mechanical-system,nuedc-topic,2011/C_智能小车.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2011/C_%E6%99%BA%E8%83%BD%E5%B0%8F%E8%BD%A6.pdf
2011,national,D,LC谐振放大器,analog-rf,general-embedded,nuedc-topic,2011/D_LC谐振放大器.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2011/D_LC%E8%B0%90%E6%8C%AF%E6%94%BE%E5%A4%A7%E5%99%A8.pdf
2011,national,E,简易数字信号传输性能分析仪,instrumentation;communications-network;digital-systems-fpga,general-embedded,nuedc-topic,2011/E_简易数字信号传输性能分析仪.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2011/E_%E7%AE%80%E6%98%93%E6%95%B0%E5%AD%97%E4%BF%A1%E5%8F%B7%E4%BC%A0%E8%BE%93%E6%80%A7%E8%83%BD%E5%88%86%E6%9E%90%E4%BB%AA.pdf
2011,national,F,帆板控制系统,control-robotics,general-embedded,nuedc-topic,2011/F_帆板控制系统.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2011/F_%E5%B8%86%E6%9D%BF%E6%8E%A7%E5%88%B6%E7%B3%BB%E7%BB%9F.pdf
2011,national,G,简易自动电阻测试仪,instrumentation,precision-analog,nuedc-topic,2011/G_简易自动电阻测试仪.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2011/G_%E7%AE%80%E6%98%93%E8%87%AA%E5%8A%A8%E7%94%B5%E9%98%BB%E6%B5%8B%E8%AF%95%E4%BB%AA.pdf
2011,national,H,波形采集、存储与回放系统,instrumentation;digital-systems-fpga,high-speed-sampling,nuedc-topic,2011/H_波形采集、存储与回放系统.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2011/H_%E6%B3%A2%E5%BD%A2%E9%87%87%E9%9B%86%E3%80%81%E5%AD%98%E5%82%A8%E4%B8%8E%E5%9B%9E%E6%94%BE%E7%B3%BB%E7%BB%9F.pdf
2012,national,A,微弱信号检测装置,instrumentation,general-embedded,nuedc-topic,2012/A_微弱信号检测装置.docx,https://github.com/CCBP/NUEDC_Topic/blob/main/2012/A_%E5%BE%AE%E5%BC%B1%E4%BF%A1%E5%8F%B7%E6%A3%80%E6%B5%8B%E8%A3%85%E7%BD%AE.docx
2012,national,B,频率补偿电路,integrated-system,general-embedded,nuedc-topic,2012/B_频率补偿电路.docx,https://github.com/CCBP/NUEDC_Topic/blob/main/2012/B_%E9%A2%91%E7%8E%87%E8%A1%A5%E5%81%BF%E7%94%B5%E8%B7%AF.docx
2012,national,C,简易直流电子负载,power-electronics,power-stage,nuedc-topic,2012/C_简易直流电子负载.docx,https://github.com/CCBP/NUEDC_Topic/blob/main/2012/C_%E7%AE%80%E6%98%93%E7%9B%B4%E6%B5%81%E7%94%B5%E5%AD%90%E8%B4%9F%E8%BD%BD.docx
2012,national,D,声音定位系统,communications-network;sensing-vision-ai,audio-chain,nuedc-topic,2012/D_声音定位系统.docx,https://github.com/CCBP/NUEDC_Topic/blob/main/2012/D_%E5%A3%B0%E9%9F%B3%E5%AE%9A%E4%BD%8D%E7%B3%BB%E7%BB%9F.docx
2012,national,E,激光枪自动射击装置,integrated-system,general-embedded,nuedc-topic,2012/E_激光枪自动射击装置.docx,https://github.com/CCBP/NUEDC_Topic/blob/main/2012/E_%E6%BF%80%E5%85%89%E6%9E%AA%E8%87%AA%E5%8A%A8%E5%B0%84%E5%87%BB%E8%A3%85%E7%BD%AE.docx
2012,national,F,便携式脉搏测试仪,instrumentation;biomedical-environmental,precision-analog,nuedc-topic,2012/F_便携式脉搏测试仪.docx,https://github.com/CCBP/NUEDC_Topic/blob/main/2012/F_%E4%BE%BF%E6%90%BA%E5%BC%8F%E8%84%89%E6%90%8F%E6%B5%8B%E8%AF%95%E4%BB%AA.docx
2012,national,G,简易直流电子负载,power-electronics,power-stage,nuedc-topic,2012/G_简易直流电子负载.docx,https://github.com/CCBP/NUEDC_Topic/blob/main/2012/G_%E7%AE%80%E6%98%93%E7%9B%B4%E6%B5%81%E7%94%B5%E5%AD%90%E8%B4%9F%E8%BD%BD.docx
2012,national,H,线阵LED图文显示装置,integrated-system,general-embedded,nuedc-topic,2012/H_线阵LED图文显示装置.docx,https://github.com/CCBP/NUEDC_Topic/blob/main/2012/H_%E7%BA%BF%E9%98%B5LED%E5%9B%BE%E6%96%87%E6%98%BE%E7%A4%BA%E8%A3%85%E7%BD%AE.docx
2013,national,A,单相AC-DC变换电路,power-electronics,power-stage,nuedc-topic,2013/A_单相AC-DC变换电路.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/A_%E5%8D%95%E7%9B%B8AC-DC%E5%8F%98%E6%8D%A2%E7%94%B5%E8%B7%AF.pdf
2013,national,B,四旋翼自主飞行器,control-robotics,motor-drive;mechanical-system,nuedc-topic,2013/B_四旋翼自主飞行器.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/B_%E5%9B%9B%E6%97%8B%E7%BF%BC%E8%87%AA%E4%B8%BB%E9%A3%9E%E8%A1%8C%E5%99%A8.pdf
2013,national,C,简易旋转倒立摆及控制装置,control-robotics,motor-drive;mechanical-system,nuedc-topic,2013/C_简易旋转倒立摆及控制装置.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/C_%E7%AE%80%E6%98%93%E6%97%8B%E8%BD%AC%E5%80%92%E7%AB%8B%E6%91%86%E5%8F%8A%E6%8E%A7%E5%88%B6%E8%A3%85%E7%BD%AE.pdf
2013,national,D,射频宽带放大器,analog-rf,high-speed-sampling;rf-front-end,nuedc-topic,2013/D_射频宽带放大器.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/D_%E5%B0%84%E9%A2%91%E5%AE%BD%E5%B8%A6%E6%94%BE%E5%A4%A7%E5%99%A8.pdf
2013,national,E,简易频率特性测试仪,instrumentation,precision-analog,nuedc-topic,2013/E_简易频率特性测试仪.pdf,https://github.com/CCBP/NUEDC_Topic/blob/main/2013/E_%E7%AE%80%E6%98%93%E9%A2%91%E7%8E%87%E7%89%B9%E6%80%A7%E6%B5%8B%E8%AF%95%E4%BB%AA.pdf
